image_path,identity_id,split
data/vggface2/test/n000129/0064_01.jpg,n000129,val
data/vggface2/test/n000129/0259_01.jpg,n000129,val
data/vggface2/test/n000129/0410_10.jpg,n000129,val
data/vggface2/test/n000129/0117_01.jpg,n000129,val
data/vggface2/test/n000129/0138_02.jpg,n000129,val
data/vggface2/test/n000129/0305_02.jpg,n000129,val
data/vggface2/test/n000129/0522_02.jpg,n000129,val
data/vggface2/test/n000129/0090_02.jpg,n000129,val
data/vggface2/test/n000129/0282_01.jpg,n000129,val
data/vggface2/test/n000129/0157_01.jpg,n000129,val
data/vggface2/test/n000129/0603_01.jpg,n000129,val
data/vggface2/test/n000129/0024_01.jpg,n000129,val
data/vggface2/test/n000129/0219_01.jpg,n000129,val
data/vggface2/test/n000129/0618_01.jpg,n000129,val
data/vggface2/test/n000129/0425_01.jpg,n000129,val
data/vggface2/test/n000129/0371_01.jpg,n000129,val
data/vggface2/test/n000129/0491_02.jpg,n000129,val
data/vggface2/test/n000129/0579_02.jpg,n000129,val
data/vggface2/test/n000129/0331_01.jpg,n000129,val
data/vggface2/test/n000129/0242_01.jpg,n000129,val
data/vggface2/test/n000129/0029_01.jpg,n000129,val
data/vggface2/test/n000129/0214_01.jpg,n000129,val
data/vggface2/test/n000129/0433_01.jpg,n000129,val
data/vggface2/test/n000129/0621_02.jpg,n000129,val
data/vggface2/test/n000129/0367_01.jpg,n000129,val
data/vggface2/test/n000129/0348_02.jpg,n000129,val
data/vggface2/test/n000129/0327_01.jpg,n000129,val
data/vggface2/test/n000129/0069_01.jpg,n000129,val
data/vggface2/test/n000129/0181_01.jpg,n000129,val
data/vggface2/test/n000129/0473_01.jpg,n000129,val
data/vggface2/test/n000129/0254_01.jpg,n000129,val
data/vggface2/test/n000129/0072_01.jpg,n000129,val
data/vggface2/test/n000129/0580_01.jpg,n000129,val
data/vggface2/test/n000129/0468_01.jpg,n000129,val
data/vggface2/test/n000129/0260_02.jpg,n000129,val
data/vggface2/test/n000129/0101_01.jpg,n000129,val
data/vggface2/test/n000129/0313_02.jpg,n000129,val
data/vggface2/test/n000129/0294_01.jpg,n000129,val
data/vggface2/test/n000129/0141_01.jpg,n000129,val
data/vggface2/test/n000129/0615_01.jpg,n000129,val
data/vggface2/test/n000129/0032_01.jpg,n000129,val
data/vggface2/test/n000129/0428_01.jpg,n000129,val
data/vggface2/test/n000129/0484_01.jpg,n000129,val
data/vggface2/test/n000129/0176_01.jpg,n000129,val
data/vggface2/test/n000129/0628_03.jpg,n000129,val
data/vggface2/test/n000129/0005_01.jpg,n000129,val
data/vggface2/test/n000129/0238_01.jpg,n000129,val
data/vggface2/test/n000129/0341_03.jpg,n000129,val
data/vggface2/test/n000129/0430_02.jpg,n000129,val
data/vggface2/test/n000129/0217_02.jpg,n000129,val
data/vggface2/test/n000129/0045_01.jpg,n000129,val
data/vggface2/test/n000129/0390_01.jpg,n000129,val
data/vggface2/test/n000129/0278_01.jpg,n000129,val
data/vggface2/test/n000129/0136_01.jpg,n000129,val
data/vggface2/test/n000129/0310_01.jpg,n000129,val
data/vggface2/test/n000129/0263_01.jpg,n000129,val
data/vggface2/test/n000129/0444_01.jpg,n000129,val
data/vggface2/test/n000129/0199_02.jpg,n000129,val
data/vggface2/test/n000129/0404_01.jpg,n000129,val
data/vggface2/test/n000129/0223_01.jpg,n000129,val
data/vggface2/test/n000129/0350_01.jpg,n000129,val
data/vggface2/test/n000129/0458_03.jpg,n000129,val
data/vggface2/test/n000129/0048_01.jpg,n000129,val
data/vggface2/test/n000129/0275_01.jpg,n000129,val
data/vggface2/test/n000129/0452_01.jpg,n000129,val
data/vggface2/test/n000129/0008_01.jpg,n000129,val
data/vggface2/test/n000129/0412_01.jpg,n000129,val
data/vggface2/test/n000129/0235_01.jpg,n000129,val
data/vggface2/test/n000129/0489_01.jpg,n000129,val
data/vggface2/test/n000129/0346_01.jpg,n000129,val
data/vggface2/test/n000129/0561_01.jpg,n000129,val
data/vggface2/test/n000129/0093_01.jpg,n000129,val
data/vggface2/test/n000129/0492_01.jpg,n000129,val
data/vggface2/test/n000129/0160_01.jpg,n000129,val
data/vggface2/test/n000129/0088_01.jpg,n000129,val
data/vggface2/test/n000129/0634_01.jpg,n000129,val
data/vggface2/test/n000129/0409_01.jpg,n000129,val
data/vggface2/test/n000129/0194_02.jpg,n000129,val
data/vggface2/test/n000129/0317_03.jpg,n000129,val
data/vggface2/test/n000129/0053_01.jpg,n000129,val
data/vggface2/test/n000129/0386_01.jpg,n000129,val
data/vggface2/test/n000129/0120_01.jpg,n000129,val
data/vggface2/test/n000129/0448_02.jpg,n000129,val
data/vggface2/test/n000129/0195_01.jpg,n000129,val
data/vggface2/test/n000129/0467_01.jpg,n000129,val
data/vggface2/test/n000129/0514_01.jpg,n000129,val
data/vggface2/test/n000129/0333_01.jpg,n000129,val
data/vggface2/test/n000129/0373_01.jpg,n000129,val
data/vggface2/test/n000129/0427_01.jpg,n000129,val
data/vggface2/test/n000129/0200_01.jpg,n000129,val
data/vggface2/test/n000129/0413_02.jpg,n000129,val
data/vggface2/test/n000129/0026_01.jpg,n000129,val
data/vggface2/test/n000129/0601_01.jpg,n000129,val
data/vggface2/test/n000129/0610_04.jpg,n000129,val
data/vggface2/test/n000129/0280_01.jpg,n000129,val
data/vggface2/test/n000129/0155_01.jpg,n000129,val
data/vggface2/test/n000129/0368_01.jpg,n000129,val
data/vggface2/test/n000129/0115_01.jpg,n000129,val
data/vggface2/test/n000129/0328_01.jpg,n000129,val
data/vggface2/test/n000129/0066_01.jpg,n000129,val
data/vggface2/test/n000129/0594_01.jpg,n000129,val
data/vggface2/test/n000129/0030_01.jpg,n000129,val
data/vggface2/test/n000129/0296_01.jpg,n000129,val
data/vggface2/test/n000129/0143_01.jpg,n000129,val
data/vggface2/test/n000129/0559_01.jpg,n000129,val
data/vggface2/test/n000129/0103_01.jpg,n000129,val
data/vggface2/test/n000129/0519_01.jpg,n000129,val
data/vggface2/test/n000129/0536_02.jpg,n000129,val
data/vggface2/test/n000129/0070_01.jpg,n000129,val
data/vggface2/test/n000129/0198_01.jpg,n000129,val
data/vggface2/test/n000129/0391_02.jpg,n000129,val
data/vggface2/test/n000129/0599_01.jpg,n000129,val
data/vggface2/test/n000129/0183_01.jpg,n000129,val
data/vggface2/test/n000129/0256_01.jpg,n000129,val
data/vggface2/test/n000129/0471_01.jpg,n000129,val
data/vggface2/test/n000129/0118_01.jpg,n000129,val
data/vggface2/test/n000129/0158_01.jpg,n000129,val
data/vggface2/test/n000129/0365_01.jpg,n000129,val
data/vggface2/test/n000129/0482_09.jpg,n000129,val
data/vggface2/test/n000129/0431_01.jpg,n000129,val
data/vggface2/test/n000129/0216_01.jpg,n000129,val
data/vggface2/test/n000129/0352_01.jpg,n000129,val
data/vggface2/test/n000129/0221_01.jpg,n000129,val
data/vggface2/test/n000129/0406_01.jpg,n000129,val
data/vggface2/test/n000129/0389_01.jpg,n000129,val
data/vggface2/test/n000129/0446_01.jpg,n000129,val
data/vggface2/test/n000129/0261_01.jpg,n000129,val
data/vggface2/test/n000129/0469_02.jpg,n000129,val
data/vggface2/test/n000129/0501_02.jpg,n000129,val
data/vggface2/test/n000129/0134_01.jpg,n000129,val
data/vggface2/test/n000129/0309_01.jpg,n000129,val
data/vggface2/test/n000129/0047_01.jpg,n000129,val
data/vggface2/test/n000129/0392_01.jpg,n000129,val
data/vggface2/test/n000129/0620_01.jpg,n000129,val
data/vggface2/test/n000129/0007_01.jpg,n000129,val
data/vggface2/test/n000129/0432_02.jpg,n000129,val
data/vggface2/test/n000129/0486_01.jpg,n000129,val
data/vggface2/test/n000129/0174_01.jpg,n000129,val
data/vggface2/test/n000129/0349_01.jpg,n000129,val
data/vggface2/test/n000129/0614_05.jpg,n000129,val
data/vggface2/test/n000129/0122_01.jpg,n000129,val
data/vggface2/test/n000129/0464_02.jpg,n000129,val
data/vggface2/test/n000129/0051_01.jpg,n000129,val
data/vggface2/test/n000129/0384_01.jpg,n000129,val
data/vggface2/test/n000129/0011_01.jpg,n000129,val
data/vggface2/test/n000129/0490_01.jpg,n000129,val
data/vggface2/test/n000129/0162_01.jpg,n000129,val
data/vggface2/test/n000129/0578_01.jpg,n000129,val
data/vggface2/test/n000129/0298_02.jpg,n000129,val
data/vggface2/test/n000129/0179_01.jpg,n000129,val
data/vggface2/test/n000129/0563_01.jpg,n000129,val
data/vggface2/test/n000129/0091_01.jpg,n000129,val
data/vggface2/test/n000129/0237_01.jpg,n000129,val
data/vggface2/test/n000129/0450_01.jpg,n000129,val
data/vggface2/test/n000129/0597_02.jpg,n000129,val
data/vggface2/test/n000129/0258_02.jpg,n000129,val
